LumiCycle: E5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/16/2016,10:21,001.43125,00528.314,00637.371
12/16/2016,10:31,001.43819,00518.694,00635.772
12/16/2016,10:41,001.44514,00505.345,00634.424
12/16/2016,10:51,001.45208,00492.098,00633.313
12/16/2016,11:01,001.45903,00484.247,00632.232
12/16/2016,11:11,001.46597,00472.243,00631.502
12/16/2016,11:21,001.47292,00463.478,00630.993
12/16/2016,11:31,001.47986,00456.733,00630.606
12/16/2016,11:41,001.48681,00445.797,00630.459
12/16/2016,11:51,001.49375,00429.321,00630.561
12/16/2016,12:01,001.50069,00428.807,00630.847
12/16/2016,12:11,001.50764,00410.349,00631.349
12/16/2016,12:21,001.51458,00405.267,00632.063
12/16/2016,12:31,001.52153,00393.996,00633.082
12/16/2016,12:41,001.52847,00390.931,00634.158
12/16/2016,12:51,001.53542,00378.453,00635.538
12/16/2016,13:01,001.54236,00374.560,00637.072
12/16/2016,13:11,001.54931,00367.645,00638.859
12/16/2016,13:21,001.55625,00359.560,00640.840
12/16/2016,13:31,001.56319,00351.369,00643.045
12/16/2016,13:41,001.57014,00349.143,00645.327
12/16/2016,13:51,001.57708,00341.513,00647.832
12/16/2016,14:01,001.58403,00335.356,00650.601
12/16/2016,14:11,001.59097,00335.486,00653.488
12/16/2016,14:21,001.59792,00334.559,00656.520
12/16/2016,14:31,001.60486,00328.088,00659.705
12/16/2016,14:41,001.61181,00324.058,00663.010
12/16/2016,14:51,001.61875,00323.585,00666.445
12/16/2016,15:01,001.62569,00320.104,00670.005
12/16/2016,15:11,001.63264,00320.188,00673.727
12/16/2016,15:21,001.63958,00323.496,00677.523
12/16/2016,15:31,001.64653,00316.398,00681.395
12/16/2016,15:41,001.65347,00320.803,00685.262
12/16/2016,15:51,001.66042,00320.726,00689.252
12/16/2016,16:01,001.66736,00325.770,00693.219
12/16/2016,16:11,001.67431,00323.182,00697.317
12/16/2016,16:21,001.68125,00326.637,00701.481
12/16/2016,16:31,001.68819,00329.122,00705.588
12/16/2016,16:41,001.69514,00336.641,00709.718
12/16/2016,16:51,001.70208,00339.641,00713.813
12/16/2016,17:01,001.70903,00339.209,00717.921
12/16/2016,17:11,001.71597,00342.777,00721.906
12/16/2016,17:21,001.72292,00353.882,00725.828
12/16/2016,17:31,001.72986,00360.827,00729.763
12/16/2016,17:41,001.73681,00364.521,00733.650
12/16/2016,17:51,001.74375,00372.659,00737.429
12/16/2016,18:01,001.75069,00382.490,00741.075
12/16/2016,18:11,001.75764,00390.498,00744.714
12/16/2016,18:21,001.76458,00406.371,00748.231
12/16/2016,18:31,001.77153,00408.644,00751.697
12/16/2016,18:41,001.77847,00422.562,00754.988
12/16/2016,18:51,001.78542,00434.415,00758.241
12/16/2016,19:01,001.79236,00445.856,00761.285
12/16/2016,19:11,001.79931,00459.106,00764.285
12/16/2016,19:21,001.80625,00473.873,00767.216
12/16/2016,19:31,001.81319,00487.092,00770.099
12/16/2016,19:41,001.82014,00504.869,00772.801
12/16/2016,19:51,001.82708,00519.793,00775.351
12/16/2016,20:01,001.83403,00535.582,00777.820
12/16/2016,20:11,001.84097,00554.299,00780.180
12/16/2016,20:21,001.84792,00574.479,00782.416
12/16/2016,20:31,001.85486,00589.438,00784.625
12/16/2016,20:41,001.86181,00609.822,00786.692
12/16/2016,20:51,001.86875,00634.342,00788.648
12/16/2016,21:01,001.87569,00656.250,00790.531
12/16/2016,21:11,001.88264,00680.150,00792.285
12/16/2016,21:21,001.88958,00704.250,00793.974
12/16/2016,21:31,001.89653,00722.669,00795.642
12/16/2016,21:41,001.90347,00746.667,00797.233
12/16/2016,21:51,001.91042,00771.749,00798.756
12/16/2016,22:01,001.91736,00806.077,00800.217
12/16/2016,22:11,001.92431,00826.138,00801.723
12/16/2016,22:21,001.93125,00857.454,00803.080
12/16/2016,22:31,001.93819,00885.995,00804.466
12/16/2016,22:41,001.94514,00914.456,00805.834
12/16/2016,22:51,001.95208,00938.113,00807.263
12/16/2016,23:01,001.95903,00960.429,00808.677
12/16/2016,23:11,001.96597,00989.743,00810.012
12/16/2016,23:21,001.97292,01029.268,00811.306
12/16/2016,23:31,001.97986,01049.189,00812.788
12/16/2016,23:41,001.98681,01072.776,00814.194
12/16/2016,23:51,001.99375,01100.641,00815.557
12/17/2016,00:01,002.00069,01138.763,00816.902
12/17/2016,00:11,002.00764,01155.355,00818.383
12/17/2016,00:21,002.01458,01185.888,00819.862
12/17/2016,00:31,002.02153,01205.929,00821.399
12/17/2016,00:41,002.02847,01223.185,00823.005
