LumiCycle: 06 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/14/2017,17:22,001.72361,00369.162,00281.589
12/14/2017,17:37,001.73403,00376.024,00281.476
12/14/2017,17:52,001.74444,00376.001,00281.443
12/14/2017,18:07,001.75486,00386.487,00281.407
12/14/2017,18:22,001.76528,00386.570,00281.467
12/14/2017,18:37,001.77569,00389.506,00281.475
12/14/2017,18:52,001.78611,00391.893,00281.540
12/14/2017,19:07,001.79653,00397.084,00281.614
12/14/2017,19:22,001.80694,00392.962,00281.766
12/14/2017,19:37,001.81736,00395.514,00281.861
12/14/2017,19:52,001.82778,00396.227,00281.988
12/14/2017,20:07,001.83819,00398.936,00282.085
12/14/2017,20:22,001.84861,00396.520,00282.218
12/14/2017,20:37,001.85903,00400.909,00282.305
12/14/2017,20:52,001.86944,00398.975,00282.428
12/14/2017,21:07,001.87986,00397.956,00282.570
12/14/2017,21:22,001.89028,00394.946,00282.702
12/14/2017,21:37,001.90069,00386.860,00282.840
12/14/2017,21:52,001.91111,00387.041,00282.925
12/14/2017,22:07,001.92153,00379.182,00283.060
12/14/2017,22:22,001.93194,00378.932,00283.113
12/14/2017,22:37,001.94236,00373.785,00283.238
12/14/2017,22:52,001.95278,00364.218,00283.367
12/14/2017,23:07,001.96319,00359.864,00283.416
12/14/2017,23:22,001.97361,00355.009,00283.479
12/14/2017,23:37,001.98403,00352.370,00283.441
12/14/2017,23:52,001.99444,00342.679,00283.481
12/15/2017,00:07,002.00486,00339.460,00283.428
12/15/2017,00:22,002.01528,00331.725,00283.409
12/15/2017,00:37,002.02569,00326.892,00283.354
12/15/2017,00:52,002.03611,00324.954,00283.234
12/15/2017,01:07,002.04653,00314.686,00283.163
12/15/2017,01:22,002.05694,00309.792,00283.030
12/15/2017,01:37,002.06736,00302.499,00282.887
12/15/2017,01:52,002.07778,00296.771,00282.709
12/15/2017,02:07,002.08819,00288.081,00282.522
12/15/2017,02:22,002.09861,00283.075,00282.291
12/15/2017,02:37,002.10903,00277.140,00282.070
12/15/2017,02:52,002.11944,00267.721,00281.795
12/15/2017,03:07,002.12986,00262.665,00281.476
12/15/2017,03:22,002.14028,00256.233,00281.120
12/15/2017,03:37,002.15069,00251.461,00280.751
12/15/2017,03:52,002.16111,00246.182,00280.395
12/15/2017,04:07,002.17153,00241.825,00279.976
12/15/2017,04:22,002.18194,00234.754,00279.606
12/15/2017,04:37,002.19236,00230.133,00279.191
12/15/2017,04:52,002.20278,00223.981,00278.726
12/15/2017,05:07,002.21319,00220.019,00278.277
12/15/2017,05:22,002.22361,00217.818,00277.794
12/15/2017,05:37,002.23403,00209.612,00277.315
12/15/2017,05:52,002.24444,00203.490,00276.809
12/15/2017,06:07,002.25486,00205.257,00276.283
12/15/2017,06:22,002.26528,00200.050,00275.726
12/15/2017,06:37,002.27569,00194.570,00275.226
12/15/2017,06:52,002.28611,00195.862,00274.674
12/15/2017,07:07,002.29653,00194.700,00274.172
12/15/2017,07:22,002.30694,00189.877,00273.648
12/15/2017,07:37,002.31736,00188.372,00273.179
12/15/2017,07:52,002.32778,00186.921,00272.689
12/15/2017,08:07,002.33819,00184.317,00272.236
12/15/2017,08:22,002.34861,00182.286,00271.782
12/15/2017,08:37,002.35903,00186.030,00271.281
12/15/2017,08:52,002.36944,00180.448,00270.839
12/15/2017,09:07,002.37986,00184.067,00270.309
12/15/2017,09:22,002.39028,00181.099,00269.860
